Nadadores que nadan estilo crol:
Nombre: Lucia Gomez, Estilo: crol, Prueba: 50, Tiempo: 32.91 segundos
Nombre: Lucia Romero, Estilo: crol, Prueba: 50, Tiempo: 33.88 segundos
Nombre: Lucia Garcia, Estilo: crol, Prueba: 50, Tiempo: 35.32 segundos
Nombre: Sara Flores, Estilo: crol, Prueba: 50, Tiempo: 40.4 segundos
Nombre: Maria Gonzalez, Estilo: crol, Prueba: 50, Tiempo: 47 segundos
Nombre: Laura Romero, Estilo: crol, Prueba: 100, Tiempo: 74.25 segundos
Nombre: David Gomez, Estilo: crol, Prueba: 100, Tiempo: 75.05 segundos
Nombre: Isabel Alvarez, Estilo: crol, Prueba: 100, Tiempo: 76.04 segundos
Nombre: Sara Alvarez, Estilo: crol, Prueba: 100, Tiempo: 76.44 segundos
Nombre: Juan Diaz, Estilo: crol, Prueba: 100, Tiempo: 78.37 segundos
Nombre: Carlos Sanchez, Estilo: crol, Prueba: 100, Tiempo: 81.65 segundos
Nombre: Raquel Fernandez, Estilo: crol, Prueba: 100, Tiempo: 82.15 segundos
Nombre: Jorge Rodriguez, Estilo: crol, Prueba: 100, Tiempo: 86.71 segundos
Nombre: David Rodriguez, Estilo: crol, Prueba: 100, Tiempo: 87.08 segundos
Nombre: Carmen Torres, Estilo: crol, Prueba: 100, Tiempo: 87.47 segundos
Nombre: Sara Torres, Estilo: crol, Prueba: 100, Tiempo: 90.07 segundos
Nombre: Miguel Ortega, Estilo: crol, Prueba: 100, Tiempo: 90.75 segundos
Nombre: Carlos Ruiz, Estilo: crol, Prueba: 100, Tiempo: 95.79 segundos
Nombre: Raquel Sanchez, Estilo: crol, Prueba: 200, Tiempo: 143.04 segundos
Nombre: Isabel Castro, Estilo: crol, Prueba: 200, Tiempo: 146.3 segundos
Nombre: Isabel Morales, Estilo: crol, Prueba: 200, Tiempo: 149.38 segundos
Nombre: Elena Gonzalez, Estilo: crol, Prueba: 200, Tiempo: 153.1 segundos
Nombre: Carlos Sanchez, Estilo: crol, Prueba: 200, Tiempo: 164.24 segundos
Nombre: Sofia Diaz, Estilo: crol, Prueba: 200, Tiempo: 168.76 segundos
Nombre: Juan Morales, Estilo: crol, Prueba: 200, Tiempo: 184.02 segundos
