Nadadores ordenados por mejores tiempos:
Nombre: Sofia Ortega, Estilo: mariposa, Prueba: 50, Tiempo: 32.27 segundos
Nombre: Carmen Garcia, Estilo: mariposa, Prueba: 50, Tiempo: 32.49 segundos
Nombre: Sara Garcia, Estilo: dorso, Prueba: 50, Tiempo: 32.58 segundos
Nombre: Lucia Gomez, Estilo: crol, Prueba: 50, Tiempo: 32.91 segundos
Nombre: Miguel Castro, Estilo: pecho, Prueba: 50, Tiempo: 33.14 segundos
Nombre: Pedro Romero, Estilo: mariposa, Prueba: 50, Tiempo: 33.35 segundos
Nombre: Lucia Romero, Estilo: crol, Prueba: 50, Tiempo: 33.88 segundos
Nombre: Elena Gonzalez, Estilo: pecho, Prueba: 50, Tiempo: 34.68 segundos
Nombre: Lucia Garcia, Estilo: crol, Prueba: 50, Tiempo: 35.32 segundos
Nombre: Luis Garcia, Estilo: pecho, Prueba: 50, Tiempo: 35.47 segundos
Nombre: Lucia Sanchez, Estilo: dorso, Prueba: 50, Tiempo: 35.59 segundos
Nombre: Miguel Gomez, Estilo: mariposa, Prueba: 50, Tiempo: 36.01 segundos
Nombre: Isabel Martinez, Estilo: pecho, Prueba: 50, Tiempo: 37.34 segundos
Nombre: Daniel Ortega, Estilo: pecho, Prueba: 50, Tiempo: 37.8 segundos
Nombre: Jorge Fernandez, Estilo: mariposa, Prueba: 50, Tiempo: 39.01 segundos
Nombre: Juan Alvarez, Estilo: dorso, Prueba: 50, Tiempo: 39.26 segundos
Nombre: Carlos Morales, Estilo: pecho, Prueba: 50, Tiempo: 39.69 segundos
Nombre: Sara Flores, Estilo: crol, Prueba: 50, Tiempo: 40.4 segundos
Nombre: Ana Lopez, Estilo: mariposa, Prueba: 50, Tiempo: 40.57 segundos
Nombre: Isabel Lopez, Estilo: dorso, Prueba: 50, Tiempo: 41.31 segundos
Nombre: Jorge Castro, Estilo: mariposa, Prueba: 50, Tiempo: 43.38 segundos
Nombre: Manuel Lopez, Estilo: dorso, Prueba: 50, Tiempo: 43.78 segundos
Nombre: Raquel Fernandez, Estilo: mariposa, Prueba: 50, Tiempo: 44.69 segundos
Nombre: David Ruiz, Estilo: mariposa, Prueba: 50, Tiempo: 45.46 segundos
Nombre: Maria Gonzalez, Estilo: crol, Prueba: 50, Tiempo: 47 segundos
Nombre: Raquel Flores, Estilo: mariposa, Prueba: 100, Tiempo: 64.79 segundos
Nombre: Daniel Romero, Estilo: pecho, Prueba: 100, Tiempo: 67.49 segundos
Nombre: Luis Flores, Estilo: mariposa, Prueba: 100, Tiempo: 68.11 segundos
Nombre: Miguel Martinez, Estilo: pecho, Prueba: 100, Tiempo: 71.23 segundos
Nombre: Daniel Ramirez, Estilo: mariposa, Prueba: 100, Tiempo: 71.45 segundos
Nombre: Laura Romero, Estilo: crol, Prueba: 100, Tiempo: 74.25 segundos
Nombre: Jorge Fernandez, Estilo: mariposa, Prueba: 100, Tiempo: 74.27 segundos
Nombre: David Gomez, Estilo: crol, Prueba: 100, Tiempo: 75.05 segundos
Nombre: Isabel Alvarez, Estilo: crol, Prueba: 100, Tiempo: 76.04 segundos
Nombre: Sara Alvarez, Estilo: crol, Prueba: 100, Tiempo: 76.44 segundos
Nombre: Juan Diaz, Estilo: crol, Prueba: 100, Tiempo: 78.37 segundos
Nombre: David Vargas, Estilo: pecho, Prueba: 100, Tiempo: 79.03 segundos
Nombre: Maria Ortega, Estilo: dorso, Prueba: 100, Tiempo: 81.1 segundos
Nombre: Carlos Sanchez, Estilo: crol, Prueba: 100, Tiempo: 81.65 segundos
Nombre: Raquel Fernandez, Estilo: crol, Prueba: 100, Tiempo: 82.15 segundos
Nombre: Raquel Castro, Estilo: mariposa, Prueba: 100, Tiempo: 84.65 segundos
Nombre: Jorge Rodriguez, Estilo: crol, Prueba: 100, Tiempo: 86.71 segundos
Nombre: David Rodriguez, Estilo: crol, Prueba: 100, Tiempo: 87.08 segundos
Nombre: Carmen Torres, Estilo: crol, Prueba: 100, Tiempo: 87.47 segundos
Nombre: Sara Torres, Estilo: crol, Prueba: 100, Tiempo: 90.07 segundos
Nombre: Miguel Ortega, Estilo: crol, Prueba: 100, Tiempo: 90.75 segundos
Nombre: Manuel Gomez, Estilo: pecho, Prueba: 100, Tiempo: 90.89 segundos
Nombre: Sofia Fernandez, Estilo: pecho, Prueba: 100, Tiempo: 91.86 segundos
Nombre: Lucia Rodriguez, Estilo: pecho, Prueba: 100, Tiempo: 94.44 segundos
Nombre: Carlos Lopez, Estilo: mariposa, Prueba: 100, Tiempo: 94.87 segundos
Nombre: Lucia Ramirez, Estilo: pecho, Prueba: 100, Tiempo: 95.19 segundos
Nombre: Carlos Ruiz, Estilo: crol, Prueba: 100, Tiempo: 95.79 segundos
Nombre: Carlos Gomez, Estilo: mariposa, Prueba: 100, Tiempo: 95.82 segundos
Nombre: Pedro Torres, Estilo: pecho, Prueba: 200, Tiempo: 128.45 segundos
Nombre: Ana Garcia, Estilo: mariposa, Prueba: 200, Tiempo: 132.38 segundos
Nombre: Carmen Sanchez, Estilo: dorso, Prueba: 200, Tiempo: 132.87 segundos
Nombre: Sara Fernandez, Estilo: pecho, Prueba: 200, Tiempo: 133.9 segundos
Nombre: Carlos Rodriguez, Estilo: pecho, Prueba: 200, Tiempo: 135.06 segundos
Nombre: Laura Ruiz, Estilo: dorso, Prueba: 200, Tiempo: 140.11 segundos
